038638,SAO SEBASTIAO DO PARAISO,MG
090282,TERESOPOLIS,RJ
027763,GOIANIA,GO
104448,CHAPECO,SC
065110,SORRISO,MT
111823,VALINHOS,SP
113209,PRESIDENTE PRUDENTE,SP
109611,BLUMENAU,SC
111021,JUNDIAI,SP
008359,SALVADOR,BA
045088,ITAJUBA,MG
026948,GOIANIA,GO
057067,MURIAE,MG
088716,DUQUE DE CAXIAS,RJ
054148,LAGOA SANTA,MG
112771,ARARAQUARA,SP
113399,CAMPINAS,SP
119727,OLIMPIA,SP
031534,PACO DO LUMIAR,MA
123984,FRANCA,SP
122283,GUARULHOS,SP
059345,SANTA LUZIA,MG
112417,LIMEIRA,SP
111476,SAO CAETANO DO SUL,SP
042556,BELO HORIZONTE,MG
057232,PARA DE MINAS,MG
004176,MANAUS,AM
089250,RIO DE JANEIRO,RJ
013540,SALVADOR,BA
148411,TABOAO DA SERRA,SP
020412,FORTALEZA,CE
107607,BALNEÁRIO PIÇARRAS,SC
062901,CAMPO GRANDE,MS
097741,PORTO ALEGRE,RS
057281,RIBEIRAO DAS NEVES,MG
146522,BOITUVA,SP
088989,NOVA IGUACU,RJ
123802,BOTUCATU,SP
109538,SAO JOSE,SC
121012,PENAPOLIS,SP
093252,RIO DE JANEIRO,RJ
068494,CONCEICAO DO ARAGUAIA,PA
039255,BOA ESPERANCA,MG
083246,CURITIBA,PR
103705,CAXIAS DO SUL,RS
104653,BLUMENAU,SC
079970,SAO JOSE DOS PINHAIS,PR
092346,RIO DE JANEIRO,RJ
125971,PIRACICABA,SP
096982,PORTO ALEGRE,RS
059758,EXTREMA,MG
120006,ITAPEVA,SP
089649,SAO GONCALO,RJ
067355,RONDON DO PARA,PA
111773,FRANCA,SP
113118,ATIBAIA,SP
047365,VESPASIANO,MG
108506,JOINVILLE,SC
122697,GUARULHOS,SP
146282,JAGUARIUNA,SP
123653,SALTO,SP
065136,VARZEA GRANDE,MT
123919,SOROCABA,SP
021279,GUARA,DF
058636,IBIRITE,MG
039099,FORMIGA,MG
159871,XANGRI-LÁ,RS
124602,SANTOS,SP
021097,TAGUATINGA,DF
104455,BALNEARIO CAMBORIU,SC
124800,CARAGUATATUBA,SP
113639,SAO PAULO,SP
125997,SANTOS,SP
102400,PORTO ALEGRE,RS
114488,SANTA BARBARA D'OESTE,SP
154609,GUARA,DF
073742,RECIFE,PE
005462,SALVADOR,BA
144006,MONGAGUA,SP
111500,CATANDUVA,SP
112144,RIBEIRAO PRETO,SP
093393,SAO GONCALO,RJ
120352,LEME,SP
120428,POA,SP
063420,ÁGUA BOA,MT
123521,HORTOLANDIA,SP
033720,UBERLANDIA,MG
111104,CAMPINAS,SP
007419,MATA DE SAO JOAO,BA
067454,XINGUARA,PA
038919,UBA,MG
016121,JUAZEIRO DO NORTE,CE
045914,JOAO PINHEIRO,MG
103887,LAJEADO,RS
047324,TRES CORACOES,MG
112714,SANTOS,SP
114736,GUARULHOS,SP
122580,SAO PAULO,SP
058412,BELO HORIZONTE,MG
109165,PALHOCA,SC
065680,MARABA,PA
055293,BELO HORIZONTE,MG
163394,DIVINOPOLIS,MG
096503,VILHENA,RO
080085,LONDRINA,PR
112821,TAUBATE,SP
096024,PORTO VELHO,RO
